Acc X       , Acc Y       , Acc Z       , Gyro X      , Gyro Y      , Gyro Z      , Euler X     , Euler Y     , Euler Z     , Time        , Status       
-0.5297864  , 9.750301    , 0.8584663   , -0.001713451, -0.00659279758, 0.00119891646, -1.66147411 , -0.05872695 , 1.31469274  , 20.55       , 3
-0.538540959, 9.763847    , 0.842939258 , -0.001966193, -0.006079826, -0.00173581974, -1.66149735 , -0.0587387122, 1.31475472  , 20.56       , 3
-0.5180598  , 9.749292    , 0.8617814   , -0.003958121, -0.00569520239, -0.00401107641, -1.66154051 , -0.05877346 , 1.31481528  , 20.57       , 3
-0.5109932  , 9.743418    , 0.8731761   , -0.00529396674, -0.00609418657, -0.004016107, -1.66159725 , -0.0588079765, 1.31487966  , 20.58       , 3
-0.52873975 , 9.736389    , 0.8747946   , -0.00289330259, -0.00689045573, -0.00360498577, -1.66163051 , -0.05883759 , 1.31495214  , 20.59       , 3
-0.525001645, 9.772374    , 0.8561126   , 0.000976495561, -0.007178837, -0.0005057695, -1.66154075 , -0.05867635 , 1.31602359  , 20.6        , 3
-0.510104358, 9.768601    , 0.8563386   , 0.003101863 , -0.007163371, 0.00190279831, -1.66151392 , -0.058650855, 1.31609321  , 20.61       , 3
-0.517546535, 9.752432    , 0.85906297  , 0.00337404525, -0.00610408746, 0.001102549 , -1.66148365 , -0.0586343147, 1.31615329  , 20.62       , 3
-0.500871658, 9.740474    , 0.853970766 , 0.0007133116, -0.00611769129, -0.00104163063, -1.66148019 , -0.05863921 , 1.31621528  , 20.63       , 3
-0.497140527, 9.756287    , 0.859755039 , -0.00327788084, -0.005737983, -0.004125148, -1.66151643 , -0.0586751848, 1.31627631  , 20.64       , 3
-0.523526967, 9.749374    , 0.865310431 , -0.004208456, -0.004943751, -0.004796744, -1.66156173 , -0.0587184429, 1.31633019  , 20.65       , 3
-0.53743    , 9.745799    , 0.8484928   , -0.000209927064, -0.00493392069, -0.00318022212, -1.66156673 , -0.05874561 , 1.31638217  , 20.66       , 3
-0.5304115  , 9.735407    , 0.8599208   , 0.00258594682, -0.00652256 , -0.00183311675, -1.6615448  , -0.0587580279, 1.31644893  , 20.67       , 3
-0.5208634  , 9.745741    , 0.8667239   , 0.005912853 , -0.008106893, 0.000182786287, -1.66149044 , -0.0587488636, 1.31652951  , 20.68       , 3
-0.52364    , 9.771446    , 0.854787    , 0.006846689 , -0.007839148, 0.000452951383, -1.66142654 , -0.05873728 , 1.31660771  , 20.69       , 3
-0.519617438, 9.763248    , 0.8512997   , 0.00139089522, -0.006289775, -0.0006218508, -1.66133142 , -0.05857443 , 1.31766963  , 20.7        , 3
-0.5012282  , 9.74269     , 0.846745    , -0.00233888836, -0.006435377, -0.00263700425, -1.66135859 , -0.05859494 , 1.31773591  , 20.71       , 3
-0.527379632, 9.739558    , 0.8779408   , -0.00460194563, -0.006311571, -0.00411313167, -1.66140866 , -0.0586300455, 1.31780267  , 20.72       , 3
-0.528917551, 9.739236    , 0.8954834   , -0.00553783448, -0.00484313769, -0.003452538, -1.66146708 , -0.05866008 , 1.31785417  , 20.73       , 3
-0.510442734, 9.741983    , 0.8619374   , -0.00421203952, -0.00736304745, -0.002110276, -1.66151357 , -0.05867441 , 1.31792951  , 20.74       , 3
-0.5265293  , 9.742474    , 0.841457963 , -0.00195702049, -0.008408702, 0.000833593949, -1.66153812 , -0.0586584359, 1.31801248  , 20.75       , 3
-0.525101364, 9.752422    , 0.845004439 , -0.0024980607, -0.007065489, 0.00269586314, -1.66156709 , -0.05862524 , 1.31808066  , 20.76       , 3
-0.5106509  , 9.75684     , 0.8532679   , -0.000486950943, -0.00654412573, 0.0011037552, -1.66157579 , -0.0586082824, 1.318145    , 20.77       , 3
-0.514790535, 9.746008    , 0.848341167 , 0.0008602141, -0.006027927, -0.00129102252, -1.66157079 , -0.058615718, 1.31820607  , 20.78       , 3
-0.5283337  , 9.738395    , 0.836511731 , -0.00339777442, -0.005915206, -0.004508597, -1.66160846 , -0.0586552732, 1.31826949  , 20.79       , 3
-0.533624947, 9.764292    , 0.8497551   , -0.005644348, -0.005572438, -0.0062350533, -1.66156113 , -0.0585482158, 1.31943583  , 20.8        , 3
-0.5256525  , 9.752947    , 0.8553494   , -0.00258479314, -0.005023073, -0.00355669414, -1.6615901  , -0.0585791171, 1.31948924  , 20.81       , 3
-0.5194988  , 9.748906    , 0.8694198   , 0.0006004407, -0.00619580969, 0.000324462657, -1.66158772 , -0.05857025 , 1.31955075  , 20.82       , 3
-0.5196502  , 9.732173    , 0.8668419   , 0.002196375 , -0.00685356464, 0.00153191632, -1.6615696  , -0.0585487857, 1.31961751  , 20.83       , 3
-0.519648254, 9.734902    , 0.869523    , 0.00233254861, -0.005790731, 0.00126435736, -1.66154957 , -0.058530964, 1.31967425  , 20.84       , 3
-0.495525926, 9.757011    , 0.835005939 , -0.00100043649, -0.006464311, -8.18104163E-05, -1.6615634  , -0.058525946, 1.31973863  , 20.85       , 3
